Race,Pos,Nat.,Driver,
8,R,Bel,Johnny Claes,0
8,R,GB,Lance Macklin,0
108,2,Arg,Juan Manuel Fangio,2
108,3,It,Giuseppe Farina,3
108,1,It,Alberto Ascari,1
108,5,It,Luigi Villoresi,5
108,6,GB,Mike Hawthorn,6
108,8,Fr,Maurice Trintignant,8
108,7,It,Felice Bonetto,7
108,16,Arg,Roberto Mieres,16
108,12,It It,Sergio Mantovani Luigi Musso,12
108,4,Arg,Onofre Marimón,4
108,11,It,Umberto Maglioli,11
108,15,USA,Harry Schell,15
108,25,Mon,Louis Chiron,25
108,23,Th,B. Bira,23
108,9,Swz,Emmanuel de Graffenried,9
108,24,GB,Alan Brown,24
108,10,GB,Stirling Moss,10
108,29,Ger,Hans Stuck,29
108,28,Fr,Yves Giraud-Cabantous,28
108,17,Fr,Louis Rosier,17
108,22,GB,Jack Fairman,22
108,19,GB,Ken Wharton,19
108,18,GB,Ken McAlpine,18
108,20,It,Piero Carini,20
108,14,GB,Roy Salvadori,14
108,21,Brz,Chico Landi,21
108,13,Fr,Élie Bayol,13
108,26,USA,John Fitch,26
108,30,Bel,Johnny Claes,30
108,27,GB,Lance Macklin,27
9,1,Fr,Louis Rosier,1
9,2,Fr,Élie Bayol,2
9,3,GB,Peter Whitehead,2
9,4,Arg,Roberto Mieres,3
9,5,GB,Tom Cole,3
9,6,Bel,Charles de Tornaco,4
9,7,Bel,Johnny Claes,4
9,8,GB,John Lyons,4
9,R,USA,Harry Schell,0
10,1,Arg,Juan Manuel Fangio,1
10,2,GB,Ken Wharton,2
10,3,Fr,Louis Rosier,2
10,4,Fr,Maurice Trintignant,3
10,5,Arg,José Froilán Gonzalez,3
10,6,Fr,Yves Giraud Cabantous,4
10,7,It,Giovanni di Riu,4
10,R,GB,Duncan Hamilton,0
10,R,It,Giuseppe Farina,0
10,R,It,Alberto Ascari,0
11,1,Fr,Louis Rosier,1
11,2,Arg,José Froilán Gonzalez,2
11,3,Fr,Maurice Trintignant,2
11,4,Arg,Roberto Mieres,3
11,5,GB,Peter Whitehead,3
11,6,Bel,Johnny Claes,3
11,7,GB,Tom Cole,3
11,R,GB,Ken Wharton,4
11,R,Bel,Charles de Tornaco,0
11,R,Arg,Juan Manuel Fangio,0
11,R,Fr,Yves Giraud Cabantous,0
11,R,Fr,Élie Bayol,0
