306,1980 Monaco Grand Prix - qualifying,1980-05-17
303,1980 French Grand Prix - qualifying,1980-06-28
300,1980 British Grand Prix - qualifying,1980-07-12
304,1980 German Grand Prix - qualifying,1980-08-09
297,1980 Austrian Grand Prix - qualifying,1980-08-16
302,1980 Dutch Grand Prix - qualifying,1980-08-30
305,1980 Italian Grand Prix - qualifying,1980-09-13
301,1980 Canadian Grand Prix - qualifying,1980-09-27
308,1980 United States Grand Prix - qualifying,1980-10-04
324,1981 United States Grand Prix West - qualifying,1981-03-14
313,1981 Brazilian Grand Prix - qualifying,1981-03-28
310,1981 Argentine Grand Prix - qualifying,1981-04-11
322,1981 San Marino Grand Prix - qualifying,1981-05-02
312,1981 Belgian Grand Prix - qualifying,1981-05-16
321,1981 Monaco Grand Prix - qualifying,1981-05-30
323,1981 Spanish Grand Prix - qualifying,1981-06-20
317,1981 French Grand Prix - qualifying,1981-07-04
314,1981 British Grand Prix - qualifying,1981-07-17
318,1981 German Grand Prix - qualifying,1981-08-01
311,1981 Austrian Grand Prix - qualifying,1981-08-15
316,1981 Dutch Grand Prix - qualifying,1981-08-29
319,1981 Italian Grand Prix - qualifying,1981-09-12
315,1981 Canadian Grand Prix - qualifying,1981-09-26
320,1981 Caesars Palace Grand Prix - qualifying,1981-10-16
338,1982 South African Grand Prix - qualifying,1982-01-22
327,1982 Brazilian Grand Prix - qualifying,1982-03-20
340,1982 United States Grand Prix West - qualifying,1982-04-03
337,1982 San Marino Grand Prix - qualifying,1982-04-24
326,1982 Belgian Grand Prix - qualifying,1982-05-08
336,1982 Monaco Grand Prix - qualifying,1982-05-22
330,1982 Detroit Grand Prix - qualifying,1982-06-05
329,1982 Canadian Grand Prix - qualifying,1982-06-12
331,1982 Dutch Grand Prix - qualifying,1982-07-02
328,1982 British Grand Prix - qualifying,1982-07-17
332,1982 French Grand Prix - qualifying,1982-07-24
333,1982 German Grand Prix - qualifying,1982-08-07
325,1982 Austrian Grand Prix - qualifying,1982-08-14
339,1982 Swiss Grand Prix - qualifying,1982-08-28
334,1982 Italian Grand Prix - qualifying,1982-09-11
335,1982 Caesars Palace Grand Prix - qualifying,1982-09-24
343,1983 Brazilian Grand Prix - qualifying,1983-03-12
355,1983 United States Grand Prix West - qualifying,1983-03-26
349,1983 French Grand Prix - qualifying,1983-04-16
353,1983 San Marino Grand Prix - qualifying,1983-04-30
352,1983 Monaco Grand Prix - qualifying,1983-05-14
342,1983 Belgian Grand Prix - qualifying,1983-05-21
346,1983 Detroit Grand Prix - qualifying,1983-06-04
345,1983 Canadian Grand Prix - qualifying,1983-06-11
344,1983 British Grand Prix - qualifying,1983-07-15
350,1983 German Grand Prix - qualifying,1983-08-06
341,1983 Austrian Grand Prix - qualifying,1983-08-13
347,1983 Dutch Grand Prix - qualifying,1983-08-27
351,1983 Italian Grand Prix - qualifying,1983-09-10
348,1983 European Grand Prix - qualifying,1983-09-24
354,1983 South African Grand Prix - qualifying,1983-10-14
358,1984 Brazilian Grand Prix - qualifying,1984-03-24
371,1984 South African Grand Prix - qualifying,1984-04-06
357,1984 Belgian Grand Prix - qualifying,1984-04-28
370,1984 San Marino Grand Prix - qualifying,1984-05-05
365,1984 French Grand Prix - qualifying,1984-05-19
368,1984 Monaco Grand Prix - qualifying,1984-06-02
360,1984 Canadian Grand Prix - qualifying,1984-06-16
362,1984 Detroit Grand Prix - qualifying,1984-06-23
361,1984 Dallas Grand Prix - qualifying,1984-07-07
359,1984 British Grand Prix - qualifying,1984-07-21
366,1984 German Grand Prix - qualifying,1984-08-04
356,1984 Austrian Grand Prix - qualifying,1984-08-18
363,1984 Dutch Grand Prix - qualifying,1984-08-25
367,1984 Italian Grand Prix - qualifying,1984-09-08
364,1984 European Grand Prix - qualifying,1984-10-06
369,1984 Portuguese Grand Prix - qualifying,1984-10-20
375,1985 Brazilian Grand Prix - qualifying,1985-04-06
385,1985 Portuguese Grand Prix - qualifying,1985-04-20
386,1985 San Marino Grand Prix - qualifying,1985-05-04
384,1985 Monaco Grand Prix - qualifying,1985-05-18
377,1985 Canadian Grand Prix - qualifying,1985-06-15
378,1985 Detroit Grand Prix - qualifying,1985-06-22
381,1985 French Grand Prix - qualifying,1985-07-06
376,1985 British Grand Prix - qualifying,1985-07-20
382,1985 German Grand Prix - qualifying,1985-08-03
373,1985 Austrian Grand Prix - qualifying,1985-08-17
379,1985 Dutch Grand Prix - qualifying,1985-08-24
383,1985 Italian Grand Prix - qualifying,1985-09-07
374,1985 Belgian Grand Prix - qualifying,1985-09-14
380,1985 European Grand Prix - qualifying,1985-10-05
387,1985 South African Grand Prix - qualifying,1985-10-18
372,1985 Australian Grand Prix - qualifying,1985-11-02
391,1986 Brazilian Grand Prix - qualifying,1986-03-22
403,1986 Spanish Grand Prix - qualifying,1986-04-12
402,1986 San Marino Grand Prix - qualifying,1986-04-26
400,1986 Monaco Grand Prix - qualifying,1986-05-10
390,1986 Belgian Grand Prix - qualifying,1986-05-24
393,1986 Canadian Grand Prix - qualifying,1986-06-14
394,1986 Detroit Grand Prix - qualifying,1986-06-21
395,1986 French Grand Prix - qualifying,1986-07-05
392,1986 British Grand Prix - qualifying,1986-07-12
396,1986 German Grand Prix - qualifying,1986-07-26
397,1986 Hungarian Grand Prix - qualifying,1986-08-09
389,1986 Austrian Grand Prix - qualifying,1986-08-16
398,1986 Italian Grand Prix - qualifying,1986-09-06
401,1986 Portuguese Grand Prix - qualifying,1986-09-20
